altitude,latitude,longitude,position_covariance_type,service,status,Time (s)
8.33196699899,1.26730375579,103.790910321,2,5,2,1726755090.77
8.3284522295,1.26730374811,103.79091031,2,5,2,1726755090.8
8.32895874232,1.2673037383,103.790910319,2,5,2,1726755090.84
8.32754986361,1.26730373863,103.790910297,2,5,2,1726755090.91
8.32440812048,1.26730372436,103.790910308,2,5,2,1726755090.94
8.32628291752,1.26730373693,103.790910301,2,5,2,1726755091.03
8.32583665289,1.26730373168,103.790910298,2,5,2,1726755091.04
8.32442850806,1.26730373358,103.790910302,2,5,2,1726755091.11
8.32599466294,1.26730374512,103.790910296,2,5,2,1726755091.14
8.32796398737,1.26730374363,103.790910313,2,5,2,1726755091.19
8.33008057252,1.26730373812,103.790910298,2,5,2,1726755091.24
8.32771962136,1.26730373925,103.790910303,2,5,2,1726755091.29
8.35296534374,1.26730399189,103.790910285,2,5,2,1726755091.35
8.35230520181,1.26730400167,103.790910257,2,5,2,1726755091.39
8.35366136208,1.26730401432,103.790910283,2,5,2,1726755091.44
8.35836121812,1.26730401194,103.790910266,2,5,2,1726755091.51
8.35481927916,1.26730401922,103.790910265,2,5,2,1726755091.54
8.35243366472,1.26730400316,103.790910263,2,5,2,1726755091.59
8.35390324984,1.2673040212,103.790910258,2,5,2,1726755091.64
8.35165701527,1.26730401013,103.790910264,2,5,2,1726755091.71
8.35268998239,1.26730400378,103.790910259,2,5,2,1726755091.75
8.35011496395,1.26730402535,103.790910306,2,5,2,1726755091.8
8.35328523163,1.26730402962,103.790910293,2,5,2,1726755091.84
8.35560501833,1.2673040071,103.790910286,2,5,2,1726755091.9
8.35824686475,1.26730403265,103.7909103,2,5,2,1726755091.94
8.3519270597,1.26730402663,103.790910271,2,5,2,1726755092.03
8.34938331228,1.26730403351,103.790910264,2,5,2,1726755092.05
8.34924954362,1.26730402805,103.79091028,2,5,2,1726755092.1
8.34777897131,1.26730403222,103.790910279,2,5,2,1726755092.15
8.34651767835,1.26730402999,103.790910275,2,5,2,1726755092.19
8.34857912362,1.26730401992,103.790910268,2,5,2,1726755092.24
8.34608196281,1.26730402587,103.790910282,2,5,2,1726755092.29
8.34493480809,1.26730401333,103.790910266,2,5,2,1726755092.35
8.38246162143,1.26730393188,103.790910385,2,5,2,1726755092.4
8.38197773602,1.26730392695,103.790910404,2,5,2,1726755092.45
8.38464055676,1.26730394986,103.790910391,2,5,2,1726755092.51
8.38749509305,1.26730393241,103.790910384,2,5,2,1726755092.54
8.38190396409,1.26730392904,103.79091039,2,5,2,1726755092.59
