altitude,latitude,longitude,Time (s)
17.8121263785,1.27376360757,103.789994818,1714983280.12
17.8082914921,1.27376360719,103.789994821,1714983280.16
17.8107871208,1.27376361766,103.789994819,1714983280.21
17.8099332321,1.27376359354,103.789994809,1714983280.26
17.8084286768,1.27376360002,103.789994813,1714983280.31
17.8073388189,1.27376360384,103.789994818,1714983280.36
17.809837508,1.2737636019,103.789994814,1714983280.41
17.8089934271,1.2737636191,103.789994816,1714983280.47
17.8067996334,1.27376360496,103.789994829,1714983280.51
17.8073232137,1.27376360962,103.789994824,1714983280.56
17.8074053507,1.27376360601,103.789994826,1714983280.6
17.8046768801,1.27376360473,103.789994823,1714983280.65
17.8062857594,1.27376362553,103.789994833,1714983280.7
17.8111066585,1.27376361815,103.789994838,1714983280.75
17.8107918743,1.27376362501,103.789994843,1714983280.8
17.8095933981,1.27376360193,103.789994823,1714983280.87
17.8061968451,1.27376360539,103.789994831,1714983280.9
17.8084122762,1.27376361605,103.789994829,1714983280.96
17.806068291,1.27376360617,103.789994836,1714983281.03
17.8089658404,1.27376361635,103.789994836,1714983281.05
17.8075947333,1.27376362154,103.789994842,1714983281.1
17.8072072929,1.27376362033,103.789994838,1714983281.15
17.804923729,1.27376362756,103.789994834,1714983281.21
17.8060732493,1.27376361378,103.789994843,1714983281.26
17.8054866791,1.27376360154,103.789994842,1714983281.31
17.8071795851,1.27376362965,103.789994839,1714983281.36
17.8011982851,1.27376360958,103.789994828,1714983281.41
17.8039069017,1.27376361051,103.789994837,1714983281.46
17.8053657189,1.27376361797,103.789994843,1714983281.51
17.8039772324,1.27376362859,103.789994854,1714983281.58
17.8037343211,1.27376360199,103.789994838,1714983281.61
17.8027960965,1.2737636085,103.789994831,1714983281.66
17.8027642732,1.27376362104,103.789994826,1714983281.71
17.8024439402,1.27376360362,103.789994842,1714983281.76
17.8035777453,1.27376360581,103.789994846,1714983281.83
17.7996812304,1.27376364041,103.789994838,1714983281.86
17.7997119557,1.27376361864,103.789994844,1714983281.91
17.7997594588,1.27376362471,103.789994845,1714983281.96
17.8054319918,1.27376363893,103.78999485,1714983282.09
17.8044965845,1.27376363979,103.789994853,1714983282.09
17.802483418,1.27376362959,103.789994843,1714983282.11
17.8037031647,1.27376363285,103.789994848,1714983282.16
17.7979336102,1.27376362249,103.789994844,1714983282.21
17.802817082,1.27376363611,103.789994843,1714983282.25
17.8027370088,1.27376363983,103.789994855,1714983282.3
17.8027777849,1.27376362036,103.789994844,1714983282.35
17.801297971,1.27376363403,103.789994849,1714983282.41
17.8005076302,1.273763642,103.789994859,1714983282.47
17.7998232488,1.27376363215,103.789994852,1714983282.52
17.7985353591,1.27376363327,103.789994846,1714983282.55
17.7950911131,1.27376361796,103.789994841,1714983282.6
17.7980976831,1.27376363055,103.789994839,1714983282.65
17.7988352971,1.2737636291,103.789994844,1714983282.71
17.8031103574,1.27376364265,103.789994865,1714983282.76
17.7978451522,1.27376361874,103.78999486,1714983282.8
17.8044949686,1.27376361935,103.789994854,1714983282.87
17.8026634706,1.27376362738,103.789994849,1714983282.9
17.7962313117,1.27376363603,103.789994857,1714983282.95
17.7959556952,1.27376361337,103.789994841,1714983283.02
17.79575097,1.27376361462,103.789994859,1714983283.05
17.795003674,1.2737636267,103.789994848,1714983283.11
17.7976425476,1.27376362062,103.789994847,1714983283.17
17.7960024355,1.27376362749,103.789994845,1714983283.22
17.7988825133,1.27376362162,103.789994847,1714983283.26
17.7946580015,1.27376361915,103.789994842,1714983283.31
17.7944114674,1.27376361326,103.789994848,1714983283.37
17.7945463192,1.27376361474,103.789994845,1714983283.41
17.794955641,1.27376361633,103.789994851,1714983283.46
17.7940597627,1.27376362527,103.789994843,1714983283.52
17.7978231562,1.2737636181,103.789994847,1714983283.56
17.7939727716,1.27376360236,103.789994848,1714983283.61
17.7936869236,1.2737636324,103.789994853,1714983283.66
17.7946314951,1.27376362921,103.789994858,1714983283.71
17.7942306558,1.27376363122,103.789994858,1714983283.76
17.7931052549,1.27376363061,103.789994852,1714983283.81
17.7942667743,1.27376363551,103.789994845,1714983283.85
17.7926120125,1.27376362856,103.789994847,1714983283.92
17.7930095205,1.27376363057,103.78999487,1714983283.96
17.7934226291,1.2737636421,103.789994862,1714983284.04
17.7938960502,1.27376364662,103.789994863,1714983284.06
17.7930324487,1.27376364251,103.789994867,1714983284.1
17.7914819205,1.27376362893,103.789994859,1714983284.15
17.7913947888,1.27376364229,103.789994858,1714983284.21
17.7926182365,1.27376362309,103.789994856,1714983284.25
17.7919958532,1.27376363754,103.789994865,1714983284.31
17.7925505936,1.2737636482,103.789994857,1714983284.35
17.7909055343,1.27376364738,103.789994868,1714983284.41
17.7929745233,1.27376364598,103.789994866,1714983284.45
17.7932693902,1.27376364474,103.789994872,1714983284.51
17.7932111304,1.27376364501,103.789994863,1714983284.55
17.7887138426,1.27376363565,103.78999485,1714983284.6
17.789768463,1.27376364413,103.789994864,1714983284.65
17.7894289093,1.27376363614,103.789994864,1714983284.71
17.7914434355,1.2737636347,103.789994869,1714983284.75
17.7902687043,1.27376362468,103.789994868,1714983284.81
17.7910541492,1.27376364475,103.789994885,1714983284.85
17.7898961613,1.27376363191,103.789994877,1714983284.91
17.7933429694,1.2737636586,103.789994877,1714983284.96
17.7899367968,1.27376363948,103.789994885,1714983285.04
17.7911219588,1.27376365971,103.78999488,1714983285.06
17.7935814699,1.27376365513,103.789994872,1714983285.13
17.7901692847,1.27376363806,103.789994873,1714983285.16
17.7914647507,1.27376364983,103.789994865,1714983285.22
17.7908480735,1.27376364076,103.789994877,1714983285.26
17.7885800423,1.27376365826,103.789994887,1714983285.31
17.7918503201,1.27376365531,103.789994883,1714983285.36
17.787425926,1.27376364956,103.789994873,1714983285.41
17.7899595043,1.27376365978,103.789994881,1714983285.48
17.7881581867,1.27376364954,103.78999488,1714983285.52
17.7908352157,1.27376364577,103.789994879,1714983285.56
17.787495059,1.27376365148,103.789994883,1714983285.61
17.7843347257,1.27376365584,103.789994886,1714983285.66
17.7879383676,1.27376365967,103.789994891,1714983285.7
17.786421732,1.27376365583,103.789994887,1714983285.75
17.7861118019,1.27376365535,103.789994898,1714983285.81
17.7875836436,1.27376364038,103.789994884,1714983285.87
17.7858691933,1.27376366034,103.789994883,1714983285.9
17.7841321602,1.27376363621,103.789994885,1714983285.96
17.7864220319,1.27376364224,103.789994877,1714983286.03
17.786846647,1.27376367104,103.789994889,1714983286.05
17.7834837008,1.27376365275,103.789994884,1714983286.19
17.7855906477,1.27376365547,103.789994877,1714983286.22
17.7858985849,1.2737636471,103.789994889,1714983286.25
17.7852892699,1.27376364134,103.789994887,1714983286.31
17.7836614028,1.27376364678,103.789994884,1714983286.36
17.7845851118,1.27376364438,103.789994885,1714983286.4
17.7841219604,1.27376366114,103.789994889,1714983286.48
17.7829427449,1.27376363,103.789994889,1714983286.51
17.7841724418,1.27376363917,103.789994889,1714983286.55
17.785337083,1.27376366216,103.789994894,1714983286.61
17.7830360085,1.27376365291,103.789994887,1714983286.65
